Commodity,Weights,Year,Value
Tree nuts,U.S. competitors (country export weights),1971,90.73339080810547
Wheat,U.S. competitors (country export weights),1971,86.92474365234375
Wine and beer,U.S. competitors (country export weights),1971,93.61570739746094
Agricultural related,U.S. markets (U.S. export weights),1971,86.28167724609375
Beef and beef products,U.S. markets (U.S. export weights),1971,98.01604461669922
Bulk,U.S. markets (U.S. export weights),1971,80.24215698242188
Consumer oriented,U.S. markets (U.S. export weights),1971,89.5811767578125
Corn,U.S. markets (U.S. export weights),1971,96.27996826171875
Cotton,U.S. markets (U.S. export weights),1971,77.62373352050781
Dairy products,U.S. markets (U.S. export weights),1971,82.75874328613281
Distillers grain,U.S. markets (U.S. export weights),1971,77.74826049804688
Feeds and fodders,U.S. markets (U.S. export weights),1971,81.81985473632813
Fresh and processed fruit,U.S. markets (U.S. export weights),1971,88.35757446289063
Fresh and processed vegetables,U.S. markets (U.S. export weights),1971,89.25373077392578
Hides and skins,U.S. markets (U.S. export weights),1971,75.03011322021484
Intermediates,U.S. markets (U.S. export weights),1971,82.46244812011719
Juices and beverages,U.S. markets (U.S. export weights),1971,87.85894775390625
Pork and pork products,U.S. markets (U.S. export weights),1971,97.22916412353516
Poultry meat and products,U.S. markets (U.S. export weights),1971,82.265869140625
Prepared food,U.S. markets (U.S. export weights),1971,85.84687042236328
Rice,U.S. markets (U.S. export weights),1971,95.091064453125
Soybean and vegetable oil,U.S. markets (U.S. export weights),1971,79.21566772460938
Soybeans,U.S. markets (U.S. export weights),1971,72.21559906005859
Soymeal,U.S. markets (U.S. export weights),1971,83.33631896972656
Tobacco,U.S. markets (U.S. export weights),1971,89.45303344726563
Tree nuts,U.S. markets (U.S. export weights),1971,95.38162231445313
U.S. agricultural exports to the world,U.S. markets (U.S. export weights),1971,84.98002624511719
U.S. merchandise exports to the world,U.S. markets (U.S. export weights),1971,86.67154693603516
Wheat,U.S. markets (U.S. export weights),1971,88.51923370361328
Wine and beer,U.S. markets (U.S. export weights),1971,86.53717041015625
Agricultural related products,U.S. suppliers (U.S. import weights),1971,71.00283050537109
Consumer oriented,U.S. suppliers (U.S. import weights),1971,83.31375122070313
Chocolate and cocoa products,U.S. suppliers (U.S. import weights),1971,83.7081298828125
Beef and beef products,U.S. suppliers (U.S. import weights),1971,72.69759368896484
Bulk,U.S. suppliers (U.S. import weights),1971,58.43523788452148
Cocoa beans,U.S. suppliers (U.S. import weights),1971,90.05275726318359
Cocoa paste and  butter,U.S. suppliers (U.S. import weights),1971,76.35897827148438
"Coffee, unroasted",U.S. suppliers (U.S. import weights),1971,39.02407836914063
Distilled spirits,U.S. suppliers (U.S. import weights),1971,97.58045959472656
Fish products,U.S. suppliers (U.S. import weights),1971,66.71771240234375
Forest products,U.S. suppliers (U.S. import weights),1971,70.11257171630859
Fresh and processed fruit,U.S. suppliers (U.S. import weights),1971,75.63566589355469
Fresh and processed vegetables,U.S. suppliers (U.S. import weights),1971,89.10546112060547
Intermediates,U.S. suppliers (U.S. import weights),1971,81.86476135253906
Live animals,U.S. suppliers (U.S. import weights),1971,87.08876800537109
Oils (example soybean),U.S. suppliers (U.S. import weights),1971,81.80262756347656
Prepared and snack foods,U.S. suppliers (U.S. import weights),1971,87.96651458740234
Raw beet and cane sugar,U.S. suppliers (U.S. import weights),1971,61.07896423339844
Rubber and allied products,U.S. suppliers (U.S. import weights),1971,64.31563568115234
"Sugars, sweeteners, beverage bases",U.S. suppliers (U.S. import weights),1971,72.86561584472656
U.S. total agricultural imports,U.S. suppliers (U.S. import weights),1971,77.39024353027344
Wine and beer,U.S. suppliers (U.S. import weights),1971,95.74248504638672
Bulk,U.S. competitors (country export weights),1972,74.82416534423828
Consumer oriented,U.S. competitors (country export weights),1972,82.55803680419922
Intermediates,U.S. competitors (country export weights),1972,81.95214080810547
Beef and beef products,U.S. competitors (country export weights),1972,77.23966217041016
Competitor agricultural exports to the world,U.S. competitors (country export weights),1972,73.71894836425781
Competitor merchandise exports to the world,U.S. competitors (country export weights),1972,80.49805450439453
Corn,U.S. competitors (country export weights),1972,69.23403167724609
Cotton,U.S. competitors (country export weights),1972,76.25480651855469
Dairy products,U.S. competitors (country export weights),1972,86.0631103515625
Feeds and fodders,U.S. competitors (country export weights),1972,79.4615478515625
Fresh and processed fruit,U.S. competitors (country export weights),1972,81.08344268798828
Fresh and processed vegetables,U.S. competitors (country export weights),1972,85.02169799804688
Hides and skins,U.S. competitors (country export weights),1972,81.78005218505859
Juices and beverages,U.S. competitors (country export weights),1972,83.0980224609375
Pork and pork products,U.S. competitors (country export weights),1972,85.02967071533203
Poultry meat and products,U.S. competitors (country export weights),1972,76.83870697021484
Prepared food,U.S. competitors (country export weights),1972,79.28700256347656
Rice,U.S. competitors (country export weights),1972,78.84355163574219
Soybean and vegetable  oil,U.S. competitors (country export weights),1972,84.32594299316406
Soybeans,U.S. competitors (country export weights),1972,71.20381164550781
Soymeal,U.S. competitors (country export weights),1972,62.21097946166992
Tobacco,U.S. competitors (country export weights),1972,63.60287857055664
Tree nuts,U.S. competitors (country export weights),1972,83.13362884521484
Wheat,U.S. competitors (country export weights),1972,79.72138977050781
Wine and beer,U.S. competitors (country export weights),1972,85.20917510986328
Agricultural related,U.S. markets (U.S. export weights),1972,80.54173278808594
Beef and beef products,U.S. markets (U.S. export weights),1972,93.34056091308594
Bulk,U.S. markets (U.S. export weights),1972,75.11347198486328
Consumer oriented,U.S. markets (U.S. export weights),1972,85.333984375
Corn,U.S. markets (U.S. export weights),1972,91.94956970214844
Cotton,U.S. markets (U.S. export weights),1972,74.89910888671875
Dairy products,U.S. markets (U.S. export weights),1972,79.89485931396484
Distillers grain,U.S. markets (U.S. export weights),1972,72.68654632568359
Feeds and fodders,U.S. markets (U.S. export weights),1972,76.81793212890625
Fresh and processed fruit,U.S. markets (U.S. export weights),1972,84.56637573242188
Fresh and processed vegetables,U.S. markets (U.S. export weights),1972,84.83424377441406
Hides and skins,U.S. markets (U.S. export weights),1972,70.38302612304688
Intermediates,U.S. markets (U.S. export weights),1972,78.51268768310547
Juices and beverages,U.S. markets (U.S. export weights),1972,83.95463562011719
Pork and pork products,U.S. markets (U.S. export weights),1972,91.05674743652344
Poultry meat and products,U.S. markets (U.S. export weights),1972,80.24652862548828
Prepared food,U.S. markets (U.S. export weights),1972,82.55728149414063
Rice,U.S. markets (U.S. export weights),1972,90.50544738769531
Soybean and vegetable oil,U.S. markets (U.S. export weights),1972,75.54347229003906
Soybeans,U.S. markets (U.S. export weights),1972,66.29824829101563
Soymeal,U.S. markets (U.S. export weights),1972,81.07555389404297
Tobacco,U.S. markets (U.S. export weights),1972,83.03823852539063
Tree nuts,U.S. markets (U.S. export weights),1972,88.71615600585938
U.S. agricultural exports to the world,U.S. markets (U.S. export weights),1972,80.3197021484375
U.S. merchandise exports to the world,U.S. markets (U.S. export weights),1972,82.03424835205078
Wheat,U.S. markets (U.S. export weights),1972,84.95320892333984
Wine and beer,U.S. markets (U.S. export weights),1972,81.75959014892578
Agricultural related products,U.S. suppliers (U.S. import weights),1972,67.64192962646484
Consumer oriented,U.S. suppliers (U.S. import weights),1972,79.86212158203125
Chocolate and cocoa products,U.S. suppliers (U.S. import weights),1972,79.98471069335938
Beef and beef products,U.S. suppliers (U.S. import weights),1972,69.98422241210938
Bulk,U.S. suppliers (U.S. import weights),1972,57.33310699462891
Cocoa beans,U.S. suppliers (U.S. import weights),1972,88.83316802978516
Cocoa paste and  butter,U.S. suppliers (U.S. import weights),1972,73.35919952392578
"Coffee, unroasted",U.S. suppliers (U.S. import weights),1972,39.04824066162109
Distilled spirits,U.S. suppliers (U.S. import weights),1972,90.56073760986328
Fish products,U.S. suppliers (U.S. import weights),1972,64.47339630126953
Forest products,U.S. suppliers (U.S. import weights),1972,66.75710296630859
Fresh and processed fruit,U.S. suppliers (U.S. import weights),1972,74.46749877929688
Fresh and processed vegetables,U.S. suppliers (U.S. import weights),1972,86.50672912597656
Intermediates,U.S. suppliers (U.S. import weights),1972,77.75517272949219
Live animals,U.S. suppliers (U.S. import weights),1972,83.65374755859375
Oils (example soybean),U.S. suppliers (U.S. import weights),1972,77.90242767333984
Prepared and snack foods,U.S. suppliers (U.S. import weights),1972,83.85939025878906
Raw beet and cane sugar,U.S. suppliers (U.S. import weights),1972,60.0003776550293
Rubber and allied products,U.S. suppliers (U.S. import weights),1972,64.91867828369141
"Sugars, sweeteners, beverage bases",U.S. suppliers (U.S. import weights),1972,71.7674560546875
U.S. total agricultural imports,U.S. suppliers (U.S. import weights),1972,74.18815612792969
Wine and beer,U.S. suppliers (U.S. import weights),1972,88.68287658691406
Bulk,U.S. competitors (country export weights),1973,65.95481109619141
Consumer oriented,U.S. competitors (country export weights),1973,72.49319458007813
Intermediates,U.S. competitors (country export weights),1973,71.84278106689453
Beef and beef products,U.S. competitors (country export weights),1973,67.81639099121094
Competitor agricultural exports to the world,U.S. competitors (country export weights),1973,65.13302612304688
Competitor merchandise exports to the world,U.S. competitors (country export weights),1973,72.27503204345703
Corn,U.S. competitors (country export weights),1973,60.2574462890625
Cotton,U.S. competitors (country export weights),1973,67.59760284423828
Dairy products,U.S. competitors (country export weights),1973,74.97469329833984
Feeds and fodders,U.S. competitors (country export weights),1973,69.16472625732422
Fresh and processed fruit,U.S. competitors (country export weights),1973,70.98939514160156
Fresh and processed vegetables,U.S. competitors (country export weights),1973,74.74942016601563
Hides and skins,U.S. competitors (country export weights),1973,72.02693939208984
Juices and beverages,U.S. competitors (country export weights),1973,73.19828796386719
Pork and pork products,U.S. competitors (country export weights),1973,74.89776611328125
Poultry meat and products,U.S. competitors (country export weights),1973,67.56343078613281
Prepared food,U.S. competitors (country export weights),1973,69.92139434814453
Rice,U.S. competitors (country export weights),1973,70.33371734619141
Soybean and vegetable  oil,U.S. competitors (country export weights),1973,74.11635589599609
Soybeans,U.S. competitors (country export weights),1973,63.29921722412109
Soymeal,U.S. competitors (country export weights),1973,54.32252883911133
Tobacco,U.S. competitors (country export weights),1973,56.46135330200195
Tree nuts,U.S. competitors (country export weights),1973,73.08955383300781
Wheat,U.S. competitors (country export weights),1973,70.36716461181641
Wine and beer,U.S. competitors (country export weights),1973,74.53750610351563
Agricultural related,U.S. markets (U.S. export weights),1973,74.90966796875
Beef and beef products,U.S. markets (U.S. export weights),1973,87.72117614746094
Bulk,U.S. markets (U.S. export weights),1973,68.63819885253906
Consumer oriented,U.S. markets (U.S. export weights),1973,80.16938781738281
Corn,U.S. markets (U.S. export weights),1973,85.74108123779297
Cotton,U.S. markets (U.S. export weights),1973,69.66017150878906
Dairy products,U.S. markets (U.S. export weights),1973,73.98756408691406
Distillers grain,U.S. markets (U.S. export weights),1973,66.97635650634766
Feeds and fodders,U.S. markets (U.S. export weights),1973,70.15175628662109
Fresh and processed fruit,U.S. markets (U.S. export weights),1973,80.03464508056641
Fresh and processed vegetables,U.S. markets (U.S. export weights),1973,80.75945281982422
Hides and skins,U.S. markets (U.S. export weights),1973,65.47191619873047
Intermediates,U.S. markets (U.S. export weights),1973,72.79436492919922
Juices and beverages,U.S. markets (U.S. export weights),1973,80.44174194335938
Pork and pork products,U.S. markets (U.S. export weights),1973,83.91651153564453
Poultry meat and products,U.S. markets (U.S. export weights),1973,75.72164916992188
Prepared food,U.S. markets (U.S. export weights),1973,78.81760406494141
Rice,U.S. markets (U.S. export weights),1973,84.64500427246094
Soybean and vegetable oil,U.S. markets (U.S. export weights),1973,70.57060241699219
Soybeans,U.S. markets (U.S. export weights),1973,59.54793548583984
Soymeal,U.S. markets (U.S. export weights),1973,76.44667816162109
Tobacco,U.S. markets (U.S. export weights),1973,73.04636383056641
Tree nuts,U.S. markets (U.S. export weights),1973,81.06407928466797
U.S. agricultural exports to the world,U.S. markets (U.S. export weights),1973,74.55592346191406
U.S. merchandise exports to the world,U.S. markets (U.S. export weights),1973,75.92445373535156
Wheat,U.S. markets (U.S. export weights),1973,79.28361511230469
Wine and beer,U.S. markets (U.S. export weights),1973,76.55885314941406
Agricultural related products,U.S. suppliers (U.S. import weights),1973,61.87449645996094
Consumer oriented,U.S. suppliers (U.S. import weights),1973,73.30380249023438
Chocolate and cocoa products,U.S. suppliers (U.S. import weights),1973,73.80361938476563
Beef and beef products,U.S. suppliers (U.S. import weights),1973,62.94507217407227
Bulk,U.S. suppliers (U.S. import weights),1973,53.03359603881836
Cocoa beans,U.S. suppliers (U.S. import weights),1973,77.679931640625
Cocoa paste and  butter,U.S. suppliers (U.S. import weights),1973,63.23006820678711
"Coffee, unroasted",U.S. suppliers (U.S. import weights),1973,36.99565124511719
Distilled spirits,U.S. suppliers (U.S. import weights),1973,84.11836242675781
Fish products,U.S. suppliers (U.S. import weights),1973,57.84287261962891
Forest products,U.S. suppliers (U.S. import weights),1973,62.61226272583008
Fresh and processed fruit,U.S. suppliers (U.S. import weights),1973,67.03029632568359
Fresh and processed vegetables,U.S. suppliers (U.S. import weights),1973,82.45494842529297
Intermediates,U.S. suppliers (U.S. import weights),1973,71.78928375244141
Live animals,U.S. suppliers (U.S. import weights),1973,80.79925537109375
Oils (example soybean),U.S. suppliers (U.S. import weights),1973,70.62870025634766
Prepared and snack foods,U.S. suppliers (U.S. import weights),1973,79.5286865234375
Raw beet and cane sugar,U.S. suppliers (U.S. import weights),1973,56.22134017944336
Rubber and allied products,U.S. suppliers (U.S. import weights),1973,54.28438949584961
"Sugars, sweeteners, beverage bases",U.S. suppliers (U.S. import weights),1973,68.32334899902344
U.S. total agricultural imports,U.S. suppliers (U.S. import weights),1973,68.13655090332031
Wine and beer,U.S. suppliers (U.S. import weights),1973,79.12580871582031
Bulk,U.S. competitors (country export weights),1974,65.08432006835938
Consumer oriented,U.S. competitors (country export weights),1974,71.74180603027344
Intermediates,U.S. competitors (country export weights),1974,70.96880340576172
Beef and beef products,U.S. competitors (country export weights),1974,67.21846008300781
Competitor agricultural exports to the world,U.S. competitors (country export weights),1974,63.70407104492188
Competitor merchandise exports to the world,U.S. competitors (country export weights),1974,71.27378845214844
Corn,U.S. competitors (country export weights),1974,59.52933883666992
Cotton,U.S. competitors (country export weights),1974,66.56915283203125
Dairy products,U.S. competitors (country export weights),1974,74.56938171386719
Feeds and fodders,U.S. competitors (country export weights),1974,68.53910064697266
Fresh and processed fruit,U.S. competitors (country export weights),1974,70.34171295166016
Fresh and processed vegetables,U.S. competitors (country export weights),1974,74.00920104980469
Hides and skins,U.S. competitors (country export weights),1974,71.78043365478516
Juices and beverages,U.S. competitors (country export weights),1974,72.06561279296875
Pork and pork products,U.S. competitors (country export weights),1974,74.71934509277344
Poultry meat and products,U.S. competitors (country export weights),1974,67.4532470703125
Prepared food,U.S. competitors (country export weights),1974,68.70697784423828
Rice,U.S. competitors (country export weights),1974,68.71329498291016
Soybean and vegetable  oil,U.S. competitors (country export weights),1974,73.1036376953125
Soybeans,U.S. competitors (country export weights),1974,62.56720352172852
Soymeal,U.S. competitors (country export weights),1974,53.31081390380859
Tobacco,U.S. competitors (country export weights),1974,54.63764190673828
Tree nuts,U.S. competitors (country export weights),1974,72.18877410888672
Wheat,U.S. competitors (country export weights),1974,70.22431945800781
Wine and beer,U.S. competitors (country export weights),1974,74.35752868652344
Agricultural related,U.S. markets (U.S. export weights),1974,73.54196929931641
Beef and beef products,U.S. markets (U.S. export weights),1974,83.74181365966797
Bulk,U.S. markets (U.S. export weights),1974,66.48067474365234
Consumer oriented,U.S. markets (U.S. export weights),1974,77.102783203125
Corn,U.S. markets (U.S. export weights),1974,81.38578796386719
Cotton,U.S. markets (U.S. export weights),1974,64.54713439941406
Dairy products,U.S. markets (U.S. export weights),1974,69.75743103027344
Distillers grain,U.S. markets (U.S. export weights),1974,64.82035827636719
Feeds and fodders,U.S. markets (U.S. export weights),1974,67.97357940673828
Fresh and processed fruit,U.S. markets (U.S. export weights),1974,76.33974456787109
Fresh and processed vegetables,U.S. markets (U.S. export weights),1974,77.64793395996094
Hides and skins,U.S. markets (U.S. export weights),1974,64.466796875
Intermediates,U.S. markets (U.S. export weights),1974,70.00380706787109
Juices and beverages,U.S. markets (U.S. export weights),1974,77.89082336425781
Pork and pork products,U.S. markets (U.S. export weights),1974,80.76768493652344
Poultry meat and products,U.S. markets (U.S. export weights),1974,72.98453521728516
Prepared food,U.S. markets (U.S. export weights),1974,75.62434387207031
Rice,U.S. markets (U.S. export weights),1974,80.70451354980469
Soybean and vegetable oil,U.S. markets (U.S. export weights),1974,68.47602844238281
Soybeans,U.S. markets (U.S. export weights),1974,59.02912139892578
Soymeal,U.S. markets (U.S. export weights),1974,71.49151611328125
Tobacco,U.S. markets (U.S. export weights),1974,70.03217315673828
Tree nuts,U.S. markets (U.S. export weights),1974,78.99822235107422
U.S. agricultural exports to the world,U.S. markets (U.S. export weights),1974,72.03067779541016
U.S. merchandise exports to the world,U.S. markets (U.S. export weights),1974,73.5548095703125
Wheat,U.S. markets (U.S. export weights),1974,74.07244873046875
Wine and beer,U.S. markets (U.S. export weights),1974,76.13204956054688
Agricultural related products,U.S. suppliers (U.S. import weights),1974,62.1920051574707
Consumer oriented,U.S. suppliers (U.S. import weights),1974,71.76925659179688
Chocolate and cocoa products,U.S. suppliers (U.S. import weights),1974,70.33773040771484
Beef and beef products,U.S. suppliers (U.S. import weights),1974,59.81418991088867
Bulk,U.S. suppliers (U.S. import weights),1974,50.38568496704102
Cocoa beans,U.S. suppliers (U.S. import weights),1974,77.45246887207031
Cocoa paste and  butter,U.S. suppliers (U.S. import weights),1974,58.65143203735352
"Coffee, unroasted",U.S. suppliers (U.S. import weights),1974,35.90194702148438
Distilled spirits,U.S. suppliers (U.S. import weights),1974,83.86712646484375
Fish products,U.S. suppliers (U.S. import weights),1974,58.01708602905273
Forest products,U.S. suppliers (U.S. import weights),1974,63.66714096069336
Fresh and processed fruit,U.S. suppliers (U.S. import weights),1974,69.64402008056641
Fresh and processed vegetables,U.S. suppliers (U.S. import weights),1974,77.669189453125
Intermediates,U.S. suppliers (U.S. import weights),1974,69.22963714599609
Live animals,U.S. suppliers (U.S. import weights),1974,77.68384552001953
Oils (example soybean),U.S. suppliers (U.S. import weights),1974,65.82084655761719
Prepared and snack foods,U.S. suppliers (U.S. import weights),1974,76.48783874511719
Raw beet and cane sugar,U.S. suppliers (U.S. import weights),1974,53.44842529296875
Rubber and allied products,U.S. suppliers (U.S. import weights),1974,44.88591003417969
"Sugars, sweeteners, beverage bases",U.S. suppliers (U.S. import weights),1974,63.98392486572266
U.S. total agricultural imports,U.S. suppliers (U.S. import weights),1974,66.84482574462891
Wine and beer,U.S. suppliers (U.S. import weights),1974,78.50875091552734
Bulk,U.S. competitors (country export weights),1975,64.89209747314453
Consumer oriented,U.S. competitors (country export weights),1975,69.50717926025391
Intermediates,U.S. competitors (country export weights),1975,69.12500762939453
Beef and beef products,U.S. competitors (country export weights),1975,65.90299224853516
Competitor agricultural exports to the world,U.S. competitors (country export weights),1975,64.14772033691406
Competitor merchandise exports to the world,U.S. competitors (country export weights),1975,70.49604034423828
Corn,U.S. competitors (country export weights),1975,61.88629150390625
Cotton,U.S. competitors (country export weights),1975,65.00724029541016
Dairy products,U.S. competitors (country export weights),1975,71.5400390625
Feeds and fodders,U.S. competitors (country export weights),1975,67.15848541259766
Fresh and processed fruit,U.S. competitors (country export weights),1975,69.15458679199219
Fresh and processed vegetables,U.S. competitors (country export weights),1975,71.03199768066406
Hides and skins,U.S. competitors (country export weights),1975,70.11442565917969
Juices and beverages,U.S. competitors (country export weights),1975,69.68703460693359
Pork and pork products,U.S. competitors (country export weights),1975,71.19480133056641
Poultry meat and products,U.S. competitors (country export weights),1975,64.89999389648438
Prepared food,U.S. competitors (country export weights),1975,66.99302673339844
Rice,U.S. competitors (country export weights),1975,67.4498291015625
Soybean and vegetable  oil,U.S. competitors (country export weights),1975,70.69746398925781
Soybeans,U.S. competitors (country export weights),1975,63.13333511352539
Soymeal,U.S. competitors (country export weights),1975,56.09553909301758
Tobacco,U.S. competitors (country export weights),1975,55.05771255493164
Tree nuts,U.S. competitors (country export weights),1975,69.774658203125
Wheat,U.S. competitors (country export weights),1975,69.03438568115234
Wine and beer,U.S. competitors (country export weights),1975,72.72264099121094
Agricultural related,U.S. markets (U.S. export weights),1975,73.01866149902344
Beef and beef products,U.S. markets (U.S. export weights),1975,84.64571380615234
Bulk,U.S. markets (U.S. export weights),1975,65.70204925537109
Consumer oriented,U.S. markets (U.S. export weights),1975,77.67491912841797
Corn,U.S. markets (U.S. export weights),1975,81.35431671142578
Cotton,U.S. markets (U.S. export weights),1975,63.63449478149414
Dairy products,U.S. markets (U.S. export weights),1975,70.05772399902344
Distillers grain,U.S. markets (U.S. export weights),1975,64.05074310302734
Feeds and fodders,U.S. markets (U.S. export weights),1975,68.30109405517578
Fresh and processed fruit,U.S. markets (U.S. export weights),1975,77.24903869628906
Fresh and processed vegetables,U.S. markets (U.S. export weights),1975,78.42795562744141
Hides and skins,U.S. markets (U.S. export weights),1975,64.15057373046875
Intermediates,U.S. markets (U.S. export weights),1975,70.04057312011719
Juices and beverages,U.S. markets (U.S. export weights),1975,79.34607696533203
Pork and pork products,U.S. markets (U.S. export weights),1975,80.97129058837891
Poultry meat and products,U.S. markets (U.S. export weights),1975,73.45944213867188
Prepared food,U.S. markets (U.S. export weights),1975,76.59920501708984
